Character/Sequence,Frequency (%)
ENT,0.84
QUE,0.69
LES,0.66
EDE,0.62
DES,0.53
ELA,0.45
ION,0.44
AIT,0.44
RES,0.44
EME,0.40
LLE,0.40
ELE,0.40
DEL,0.39
ERE,0.39
ANT,0.39
ESE,0.38
SDE,0.37
MEN,0.36
TRE,0.36
EST,0.35
OUR,0.35
PAR,0.34
TIO,0.33
NTE,0.32
EUR,0.32
NDE,0.30
ONS,0.30
TDE,0.28
CON,0.28
IQU,0.28
AIS,0.27
UNE,0.27
IEN,0.27
QUI,0.27
ESA,0.27
ESD,0.27
ANS,0.27
EQU,0.26
ITE,0.26
ONT,0.26
ESP,0.25
IRE,0.25
ATI,0.25
SON,0.25
EET,0.25
ESS,0.25
OND,0.25
ECO,0.24
ETA,0.24
PRE,0.24
DAN,0.24
NCE,0.24
SSE,0.23
SLE,0.23
IER,0.23
ELL,0.23
RAN,0.22
COM,0.21
UEL,0.21
TAI,0.21
TES,0.21
MME,0.21
SET,0.20
AND,0.20
ETE,0.20
TLE,0.20
TEN,0.20
URE,0.19
RLE,0.19
SEN,0.19
LEM,0.19
ERA,0.19
POU,0.19
EAU,0.19
SQU,0.19
CES,0.19
INE,0.19
EMA,0.19
OMM,0.19
ANC,0.19
ESO,0.18
ILL,0.18
NNE,0.18
EPA,0.18
ONN,0.18
TER,0.18
CHE,0.18
NES,0.18
TOU,0.18
ALE,0.18
ECE,0.18
DEC,0.17
AIN,0.17
OUS,0.17
ENE,0.17
ESC,0.17
MAI,0.17
NTA,0.17
SES,0.17
ISE,0.17